REGION,YEAR,WEEK,SEASON,TOTAL_PATIENTS_ILI_SYMPTOMS,PROVIDERS_ATTENDING_TO_ILI,WEIGHTED,%UNWEIGHTED ILI,TOTAL SPECIMENS,PERCENT POSITIVE,Non Influenza weeks,WeightedILIPCT
Region 7,2012,17,Spring,24188,87,0.692066966,0.64908219,273,8.058608059,FALSE
Region 8,2012,17,Spring,52287,114,0.937586383,1.076749479,594,14.64646465,FALSE
Region 9,2012,17,Spring,76694,192,1.938678499,1.700263384,695,20,FALSE
Region 10,2012,17,Spring,16139,46,1.422153407,1.586219716,570,27.89473684,FALSE
Region 1,2012,18,Spring,47124,136,0.518702773,0.570834394,215,22.79069767,FALSE
Region 2,2012,18,Spring,112387,171,0.995738714,1.549111552,182,28.57142857,FALSE
Region 3,2012,18,Spring,99785,190,1.294929052,1.126421807,433,21.70900693,FALSE
Region 4,2012,18,Spring,106734,291,1.457196743,1.308861281,846,12.41134752,FALSE
Region 5,2012,18,Spring,80923,236,1.046430324,1.308651434,361,23.26869806,FALSE
Region 6,2012,18,Spring,65522,136,1.885520652,1.907756173,553,6.329113924,FALSE
Region 7,2012,18,Spring,21460,78,0.837067134,0.666356011,245,5.714285714,FALSE
Region 8,2012,18,Spring,45918,98,0.908343265,0.973474454,528,10.03787879,FALSE
Region 9,2012,18,Spring,66915,183,2.120654429,1.965179706,693,20.77922078,FALSE
Region 10,2012,18,Spring,15881,45,1.449071075,1.599395504,466,19.95708155,FALSE
Region 1,2012,19,Spring,44371,132,0.6086039,0.678371008,202,10.3960396,FALSE
Region 2,2012,19,Spring,114922,168,0.871828678,1.622839839,198,24.24242424,FALSE
Region 3,2012,19,Spring,98194,186,1.455603649,1.009226633,437,22.19679634,FALSE
Region 4,2012,19,Spring,112604,310,1.358722089,1.249511563,793,12.86254729,FALSE
Region 5,2012,19,Spring,74405,223,0.959534697,1.103420469,304,21.71052632,FALSE
Region 6,2012,19,Spring,62394,129,1.907338762,1.883193897,467,3.211991435,FALSE
Region 7,2012,19,Spring,16866,73,0.664337706,0.575121546,202,2.97029703,FALSE
Region 8,2012,19,Spring,50043,109,0.771157043,0.897228384,383,11.48825065,FALSE
Region 9,2012,19,Spring,66332,173,1.983635806,1.926671893,649,19.72265023,FALSE
Region 10,2012,19,Spring,15361,43,1.12644589,1.249918625,426,20.89201878,FALSE,
Region 1,2012,20,Spring,42559,120,0.499494051,0.5780211,229,10.48034934,FALSE,
Region 2,2012,20,Spring,113883,169,0.856221649,1.525249598,152,16.44736842,FALSE,
Region 3,2012,20,Spring,99915,178,0.990323773,0.947805635,331,14.50151057,FALSE,
Region 4,2012,20,Spring,100294,299,1.441988805,1.388916585,770,13.76623377,FALSE,
Region 5,2012,20,Spring,71730,220,0.815303403,1.040011153,295,10.16949153,FALSE,
Region 6,2012,20,Spring,60222,132,1.885766171,1.884693301,443,2.483069977,FALSE,
Region 7,2012,20,Spring,15076,70,0.517189352,0.510745556,188,1.063829787,TRUE,0.517189352
Region 8,2012,20,Spring,48511,107,0.80286955,0.909072169,341,8.504398827,FALSE,
Region 9,2012,20,Spring,69371,169,1.856522614,1.70532355,604,19.37086093,FALSE,
Region 10,2012,20,Spring,14786,39,0.940367816,1.061815231,458,25.32751092,FALSE,
Region 1,2012,21,Spring,41362,114,0.580681436,0.61167255,156,8.333333333,FALSE,
Region 2,2012,21,Spring,111025,167,0.677247733,1.455528034,140,15,FALSE,
Region 3,2012,21,Spring,92513,168,1.127650776,0.944732092,299,3.010033445,FALSE,
Region 4,2012,21,Spring,106478,290,1.528846128,1.47260467,861,15.79558653,FALSE,
Region 5,2012,21,Spring,64928,198,0.664606947,0.954903894,236,11.01694915,FALSE,
Region 6,2012,21,Spring,64285,118,1.922397758,1.910243447,482,2.697095436,FALSE,
Region 7,2012,21,Spring,12023,58,0.440619296,0.490726108,165,0.606060606,TRUE,0.440619296
Region 8,2012,21,Spring,49536,104,0.601031634,0.746931525,316,2.53164557,FALSE,
Region 9,2012,21,Spring,60502,162,2.010553698,1.928861856,562,18.50533808,FALSE,
Region 10,2012,21,Spring,14113,36,0.680634596,0.871536881,512,16.6015625,FALSE,
Region 1,2012,22,Spring,33662,115,0.611205493,0.635731686,163,4.90797546,FALSE,
Region 2,2012,22,Spring,107840,164,0.681328959,1.399295252,109,5.504587156,FALSE,
Region 3,2012,22,Spring,93051,168,0.723520766,0.938195183,250,7.2,FALSE,
Region 4,2012,22,Spring,95625,287,1.657219026,1.570718954,841,15.33888228,FALSE,
Region 5,2012,22,Spring,58995,203,0.756688024,1.095008052,199,7.537688442,FALSE,
Region 6,2012,22,Spring,43759,116,2.194877632,1.86475925,370,2.702702703,FALSE,
Region 7,2012,22,Spring,9430,56,0.274067766,0.275715801,135,0.740740741,TRUE,0.274067766
Region 8,2012,22,Spring,44952,107,0.812735584,1.07670404,256,7.421875,FALSE,
Region 9,2012,22,Spring,51564,159,2.002560241,1.902490109,681,15.85903084,FALSE,
Region 10,2012,22,Spring,11736,34,0.734330104,0.869120654,343,14.86880466,FALSE,
Region 1,2012,23,Summer,39021,112,0.449869682,0.527920863,143,1.398601399,TRUE,0.449869682
Region 2,2012,23,Summer,108947,163,0.573946132,1.370391108,113,4.424778761,FALSE,
Region 3,2012,23,Summer,89792,160,1.264597642,0.955541696,248,4.435483871,FALSE,
Region 4,2012,23,Summer,88604,276,1.533899282,1.484131642,878,17.99544419,FALSE,
Region 5,2012,23,Summer,62438,199,0.641469896,0.967359621,173,5.780346821,FALSE,
Region 6,2012,23,Summer,58840,107,1.454483387,1.556764106,344,2.906976744,FALSE,
Region 7,2012,23,Summer,10162,48,0.085701138,0.07872466,169,0,TRUE,0.085701138
Region 8,2012,23,Summer,46696,104,0.665369059,0.833047799,280,2.142857143,FALSE,
Region 9,2012,23,Summer,64108,162,1.746234261,1.388282274,405,16.2962963,FALSE,
Region 10,2012,23,Summer,13092,34,0.566978169,0.656889704,302,8.278145695,FALSE,
Region 1,2012,24,Summer,38282,104,0.556763341,0.535499713,137,0.729927007,TRUE,0.556763341
Region 2,2012,24,Summer,107887,155,0.536035246,1.344925709,116,5.172413793,FALSE,
Region 3,2012,24,Summer,88135,156,1.917145204,0.98371816,227,2.202643172,FALSE,
Region 4,2012,24,Summer,90901,252,1.473582979,1.227709266,796,16.45728643,FALSE,
Region 5,2012,24,Summer,60942,186,0.52876529,0.774506908,145,4.827586207,FALSE,
Region 6,2012,24,Summer,56132,108,1.297406386,1.437682605,315,2.53968254,FALSE,
Region 7,2012,24,Summer,10009,51,0.081314856,0.089919073,157,0.636942675,TRUE,0.081314856
Region 8,2012,24,Summer,43410,90,0.592722708,0.780926054,248,5.64516129,FALSE,
Region 9,2012,24,Summer,56458,156,1.605252999,1.409897623,479,16.70146138,FALSE,
Region 10,2012,24,Summer,12514,31,0.520709381,0.567364552,278,12.94964029,FALSE,
Region 1,2012,25,Summer,38464,104,0.511904286,0.56156406,106,1.886792453,TRUE,0.511904286
Region 2,2012,25,Summer,106505,154,0.58571211,1.436552275,94,4.255319149,FALSE,
Region 3,2012,25,Summer,83544,154,2.196864061,0.944412525,238,0.840336134,TRUE,2.196864061
Region 4,2012,25,Summer,99643,268,1.146995296,0.953403651,648,12.65432099,FALSE,
Region 5,2012,25,Summer,60491,186,0.570694365,0.813344134,131,3.053435115,FALSE,
Region 6,2012,25,Summer,57473,105,1.456491596,1.447636281,340,2.647058824,FALSE,
Region 7,2012,25,Summer,9652,48,0.047498567,0.051802735,135,0,TRUE,0.047498567
Region 8,2012,25,Summer,42565,87,0.564215025,0.744743334,223,1.34529148,TRUE,0.564215025
Region 9,2012,25,Summer,62645,160,1.768412043,1.364833586,383,11.48825065,FALSE,
Region 10,2012,25,Summer,11314,29,0.528817448,0.547993636,231,9.090909091,FALSE,
Region 1,2012,26,Summer,37130,101,0.631639524,0.605978993,121,0.826446281,TRUE,0.631639524
Region 2,2012,26,Summer,107844,151,0.5510586,1.411297801,98,2.040816327,FALSE,
Region 3,2012,26,Summer,78903,149,1.60351252,0.931523516,198,1.515151515,TRUE,1.60351252
Region 4,2012,26,Summer,87981,260,1.121313514,1.043407099,618,16.34304207,FALSE,
Region 5,2012,26,Summer,58952,184,0.545464258,0.824399511,118,1.694915254,TRUE,0.545464258
Region 6,2012,26,Summer,45533,104,2.157953862,1.9041135,281,0.355871886,TRUE,2.157953862
Region 7,2012,26,Summer,7618,48,0.088617772,0.07876083,137,0,TRUE,0.088617772
Region 8,2012,26,Summer,40805,84,0.490352496,0.654331577,110,0.909090909,TRUE,0.490352496
Region 9,2012,26,Summer,60883,153,1.615440448,1.161243697,371,8.625336927,FALSE,
Region 10,2012,26,Summer,10731,26,0.461551064,0.493896189,203,4.433497537,FALSE,
Region 1,2012,27,Summer,29783,101,0.600681599,0.621159722,110,0.909090909,TRUE,0.600681599
Region 2,2012,27,Summer,102267,151,0.622044119,1.299539441,91,0,TRUE,0.622044119
Region 3,2012,27,Summer,82117,156,1.828995068,0.834175627,193,0.518134715,TRUE,1.828995068
Region 4,2012,27,Summer,83186,259,1.249832809,1.111965956,504,10.11904762,FALSE,
Region 5,2012,27,Summer,50496,187,0.708251181,0.962452471,59,5.084745763,FALSE,
Region 6,2012,27,Summer,50992,101,1.499909922,1.508079699,249,0.401606426,TRUE,1.499909922
Region 7,2012,27,Summer,8522,51,0.174976319,0.211218024,112,0,TRUE,0.174976319
Region 8,2012,27,Summer,38170,87,0.450703899,0.62352633,178,0.561797753,TRUE,0.450703899
Region 9,2012,27,Summer,50812,151,1.645856424,1.208375974,321,9.968847352,FALSE,
Region 10,2012,27,Summer,9188,27,0.393518947,0.45711798,153,1.960784314,TRUE,0.393518947
Region 1,2012,28,Summer,36725,100,0.545702753,0.599046971,100,1,TRUE,0.545702753
Region 2,2012,28,Summer,108887,157,0.475331093,1.273797607,70,2.857142857,FALSE,
Region 3,2012,28,Summer,85691,149,1.936700326,0.734032746,207,0.483091787,TRUE,1.936700326
Region 4,2012,28,Summer,90367,249,1.034011571,0.889705313,457,11.59737418,FALSE,
Region 5,2012,28,Summer,61348,186,0.611442286,0.842733259,110,0,TRUE,0.611442286
Region 6,2012,28,Summer,54385,97,1.315291247,1.366185529,296,1.013513514,TRUE,1.315291247
Region 7,2012,28,Summer,10321,48,0.170595351,0.145334754,139,0,TRUE,0.170595351
Region 8,2012,28,Summer,42272,86,0.449177062,0.558289175,183,1.092896175,TRUE,0.449177062
Region 9,2012,28,Summer,57761,141,1.530792357,1.028375548,319,7.836990596,FALSE,
Region 10,2012,28,Summer,10880,27,0.315575646,0.367647059,171,4.093567251,FALSE,
Region 1,2012,29,Summer,35721,99,0.52976302,0.568293161,93,0,TRUE,0.52976302
Region 2,2012,29,Summer,103082,155,0.427893896,1.169942376,75,0,TRUE,0.427893896
Region 3,2012,29,Summer,86035,156,1.834755187,0.789213692,185,1.621621622,TRUE,1.834755187
Region 4,2012,29,Summer,86237,242,0.937748159,0.816354929,464,7.974137931,FALSE,
Region 5,2012,29,Summer,59768,180,0.498102546,0.79473966,107,0,TRUE,0.498102546
Region 6,2012,29,Summer,56013,94,1.231949722,1.319336583,309,0.647249191,TRUE,1.231949722
Region 7,2012,29,Summer,8076,48,0.13230373,0.136206043,149,0.67114094,TRUE,0.13230373
Region 8,2012,29,Summer,41996,81,0.467889688,0.576245357,211,0,TRUE,0.467889688
Region 9,2012,29,Summer,59124,142,1.44495059,1.058791692,322,7.453416149,FALSE,
Region 10,2012,29,Summer,10661,26,0.372761658,0.431479223,185,5.405405405,FALSE,
Region 1,2012,30,Summer,35187,96,0.542420255,0.517236479,112,0,TRUE,0.542420255
Region 2,2012,30,Summer,103764,153,0.434709582,1.090937127,75,4,FALSE,
Region 3,2012,30,Summer,89760,160,1.691766282,0.76426025,206,2.912621359,FALSE,
Region 4,2012,30,Summer,91351,251,1.057141707,0.968790708,454,5.726872247,FALSE,
Region 5,2012,30,Summer,62243,195,0.607255964,0.875600469,96,10.41666667,FALSE,
Region 6,2012,30,Summer,57282,100,1.170309809,1.192346636,279,0.358422939,TRUE,1.170309809
Region 7,2012,30,Summer,7975,47,0.134455942,0.175548589,106,0.943396226,TRUE,0.134455942
Region 8,2012,30,Summer,40875,78,0.513030048,0.650764526,211,0.947867299,TRUE,0.513030048
Region 9,2012,30,Summer,58383,143,1.461483061,1.144168679,319,15.04702194,FALSE,
Region 10,2012,30,Summer,10668,27,0.353298014,0.393700787,190,4.210526316,FALSE,
Region 1,2012,31,Summer,34593,98,0.423857773,0.526118001,125,0,TRUE,0.423857773
Region 2,2012,31,Summer,98993,137,0.425130827,1.034416575,65,1.538461538,TRUE,0.425130827
Region 3,2012,31,Summer,87223,155,1.804287573,0.773878449,187,0,TRUE,1.804287573
Region 4,2012,31,Summer,90389,253,0.929400167,0.942592572,390,6.41025641,FALSE,
Region 5,2012,31,Summer,57244,195,0.716939317,1.06037314,238,42.01680672,FALSE,
Region 6,2012,31,Summer,59649,103,1.298674806,1.342855706,304,0.986842105,TRUE,1.298674806
Region 7,2012,31,Summer,7633,46,0.174580169,0.248919167,121,0.826446281,TRUE,0.174580169
Region 8,2012,31,Summer,42998,84,0.504355008,0.586073771,205,0,TRUE,0.504355008
Region 9,2012,31,Summer,52902,143,1.579958399,1.342104268,370,17.83783784,FALSE,
Region 10,2012,31,Summer,9976,26,0.265581002,0.370890136,156,5.769230769,FALSE,
Region 1,2012,32,Summer,35339,100,0.524530416,0.568776706,105,0.952380952,TRUE,0.524530416
Region 2,2012,32,Summer,104334,147,0.347935218,0.945041885,76,3.947368421,FALSE,
Region 3,2012,32,Summer,85236,152,1.797158051,0.764935004,200,2,FALSE,
Region 4,2012,32,Summer,91745,258,0.842897141,0.889421767,400,5.5,FALSE,
Region 5,2012,32,Summer,57465,197,0.612080136,0.842251805,296,25,FALSE,
Region 6,2012,32,Summer,61720,105,1.255785418,1.382047959,327,1.22324159,TRUE,1.255785418
Region 7,2012,32,Summer,6944,42,0.113720755,0.129608295,135,2.222222222,FALSE,
Region 8,2012,32,Summer,42644,82,0.444484389,0.529969046,197,0,TRUE,0.444484389
Region 9,2012,32,Summer,52236,138,1.506214431,1.445363351,386,15.80310881,FALSE,
Region 10,2012,32,Summer,10631,27,0.394693695,0.413883924,172,0.581395349,TRUE,0.394693695
Region 1,2012,33,Summer,35785,96,0.477967215,0.533743188,124,0.806451613,TRUE,0.477967215
Region 2,2012,33,Summer,100138,139,0.374610099,0.987637061,70,2.857142857,FALSE,
Region 3,2012,33,Summer,88423,156,1.63095837,0.778078102,224,8.928571429,FALSE,
Region 4,2012,33,Summer,100521,259,1.043147093,0.993822186,509,5.304518664,FALSE,
Region 5,2012,33,Summer,64584,200,0.49002924,0.811346464,305,13.1147541,FALSE,
Region 6,2012,33,Summer,63403,100,1.147012267,1.260192735,365,0.273972603,TRUE,1.147012267
Region 7,2012,33,Summer,7652,43,0.150155929,0.169890225,130,1.538461538,TRUE,0.150155929
Region 8,2012,33,Summer,44067,85,0.530009736,0.64674246,199,3.015075377,FALSE,
Region 9,2012,33,Summer,44462,134,1.073300942,1.189780037,390,14.61538462,FALSE,
Region 10,2012,33,Summer,11075,26,0.294433739,0.306997743,185,6.486486486,FALSE,
Region 1,2012,34,Summer,35539,96,0.487764714,0.447395819,112,0,TRUE,0.487764714
Region 2,2012,34,Summer,103155,139,0.487122052,1.146817895,96,1.041666667,TRUE,0.487122052
Region 3,2012,34,Summer,92511,159,1.697492805,0.800985829,294,2.380952381,FALSE,
Region 4,2012,34,Summer,110435,255,1.109594263,1.100194685,513,5.068226121,FALSE,
Region 5,2012,34,Summer,70328,201,0.619185894,0.921396883,245,5.306122449,FALSE,
Region 6,2012,34,Summer,65561,100,1.411521746,1.55732829,408,2.696078431,FALSE,
Region 7,2012,34,Summer,9575,43,0.393130225,0.563968668,165,0.606060606,TRUE,0.393130225
Region 8,2012,34,Summer,44051,82,0.530968399,0.606115639,213,0.469483568,TRUE,0.530968399
Region 9,2012,34,Summer,53971,137,1.713037191,1.51192307,455,9.89010989,FALSE,
Region 10,2012,34,Summer,9269,26,0.331995523,0.399180063,204,3.921568627,FALSE,
Region 1,2012,35,Summer,39221,102,0.435525509,0.464037123,103,0.970873786,TRUE,0.435525509
Region 2,2012,35,Summer,101548,133,0.482347981,0.958167566,78,2.564102564,FALSE,
Region 3,2012,35,Summer,89807,156,1.684837527,0.918636632,322,2.173913043,FALSE,
Region 4,2012,35,Summer,107437,247,1.229044551,1.115072089,593,3.372681282,FALSE,
Region 5,2012,35,Summer,72946,205,0.651238087,0.982918871,245,6.12244898,FALSE,
Region 6,2012,35,Summer,64250,101,1.431106063,1.642023346,385,0.25974026,TRUE,1.431106063
Region 7,2012,35,Summer,10766,48,0.478097494,0.548021549,210,0.952380952,TRUE,0.478097494
Region 8,2012,35,Summer,44917,81,0.578547341,0.694614511,223,1.34529148,TRUE,0.578547341
Region 9,2012,35,Summer,58476,139,1.851310971,1.629728436,405,7.407407407,FALSE,
Region 10,2012,35,Summer,10986,26,0.33126813,0.40050974,182,1.648351648,TRUE,0.33126813
Region 1,2012,36,Autumn,35498,103,0.506589853,0.552143783,109,0,TRUE,0.506589853
Region 2,2012,36,Autumn,102137,139,0.554142156,1.014323898,109,3.669724771,FALSE,
Region 3,2012,36,Autumn,97731,167,1.822477959,0.903500425,269,1.115241636,TRUE,1.822477959
Region 4,2012,36,Autumn,92767,248,1.247874902,1.206247911,719,4.589707928,FALSE,
Region 5,2012,36,Autumn,62051,194,0.745864254,1.058806466,211,4.739336493,FALSE,
Region 6,2012,36,Autumn,59298,97,1.641628492,1.725184661,435,0.229885057,TRUE,1.641628492
Region 7,2012,36,Autumn,9428,45,0.660782341,0.71064913,203,0,TRUE,0.660782341
Region 8,2012,36,Autumn,39938,83,0.7294179,0.958986429,239,0.418410042,TRUE,0.7294179
Region 9,2012,36,Autumn,50611,139,2.06203611,1.72887317,431,8.120649652,FALSE,
Region 10,2012,36,Autumn,9126,27,0.504891009,0.624589086,189,1.058201058,TRUE,0.504891009
Region 1,2012,37,Autumn,42465,102,0.492040499,0.548687154,104,0,TRUE,0.492040499
Region 2,2012,37,Autumn,106861,143,0.639937153,1.157578537,124,4.032258065,FALSE,
Region 3,2012,37,Autumn,99429,165,1.690512738,1.089219443,361,1.108033241,TRUE,1.690512738
Region 4,2012,37,Autumn,104184,244,1.256703944,1.05198495,744,4.97311828,FALSE,
Region 5,2012,37,Autumn,76916,201,0.763046155,1.118102865,213,1.408450704,TRUE,0.763046155
Region 6,2012,37,Autumn,64496,100,1.872494008,1.983068717,536,0.559701493,TRUE,1.872494008
Region 7,2012,37,Autumn,10897,46,0.912733799,0.835092227,232,0.862068966,TRUE,0.912733799
Region 8,2012,37,Autumn,45111,83,0.678427555,0.902218971,328,1.524390244,TRUE,0.678427555
Region 9,2012,37,Autumn,60359,140,2.02747132,1.719710399,405,2.716049383,FALSE,
Region 10,2012,37,Autumn,11396,28,0.438313372,0.508950509,233,1.287553648,TRUE,0.438313372
Region 1,2012,38,Autumn,43900,103,0.498206871,0.5261959,148,0.675675676,TRUE,0.498206871
Region 2,2012,38,Autumn,106018,139,0.683829369,1.327133128,120,2.5,FALSE,
Region 3,2012,38,Autumn,106598,171,1.211801077,1.152929698,350,0.571428571,TRUE,1.211801077
Region 4,2012,38,Autumn,104424,249,1.28420698,1.102237034,821,5.481120585,FALSE,
Region 5,2012,38,Autumn,74362,206,0.831471114,1.112127162,236,0.847457627,TRUE,0.831471114
Region 6,2012,38,Autumn,64626,101,1.812931795,1.997648005,574,1.567944251,TRUE,1.812931795
Region 7,2012,38,Autumn,10809,48,0.761900568,0.703117772,225,1.777777778,TRUE,0.761900568
Region 8,2012,38,Autumn,46935,85,0.579878146,0.705230638,395,1.772151899,TRUE,0.579878146
Region 9,2012,38,Autumn,61297,137,2.121018242,1.686868852,413,5.811138015,FALSE,
Region 10,2012,38,Autumn,11594,29,0.614008803,0.681386924,219,5.02283105,FALSE,
Region 1,2012,39,Autumn,43762,102,0.5224108,0.539280654,156,0.641025641,TRUE,0.5224108
Region 2,2012,39,Autumn,107563,140,0.770852655,1.306211244,148,1.351351351,TRUE,0.770852655
Region 3,2012,39,Autumn,103159,170,1.423083923,1.202027937,359,2.506963788,FALSE,
Region 4,2012,39,Autumn,102816,238,1.378656134,1.183667912,828,7.608695652,FALSE,
Region 5,2012,39,Autumn,74964,211,0.795032441,1.096526333,245,5.714285714,FALSE,
Region 6,2012,39,Autumn,66662,103,1.913078057,1.98613903,554,1.083032491,TRUE,1.913078057
Region 7,2012,39,Autumn,10940,48,0.963943381,0.895795247,265,1.509433962,TRUE,0.963943381
Region 8,2012,39,Autumn,44569,80,0.712934476,0.850366847,441,1.814058957,TRUE,0.712934476
Region 9,2012,39,Autumn,57841,127,2.09177993,1.708130911,373,2.949061662,FALSE,
Region 10,2012,39,Autumn,11296,29,0.64655216,0.867563739,280,4.642857143,FALSE,
